{45,55,45,50,20} ; 699.1637080089095 ; 3534.3602031071596
{45,55,45,50,25} ; 660.5931043426515 ; 4189.6189134938995
{45,55,45,50,30} ; 660.5931043426515 ; 4189.6189134938995
{45,55,50,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,55,50,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,55,50,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,55,50,35,20} ; 681.915358229332 ; 4058.39122217458
{45,55,50,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,50,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,50,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,55,50,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,55,50,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,55,50,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,50,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,50,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,55,50,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,50,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,50,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,55,55,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,55,55,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,55,55,35,20} ; 681.915358229332 ; 4058.39122217458
{45,55,55,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,55,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,55,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,55,55,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,55,55,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,55,55,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,55,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,55,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,60,45,30,20} ; 609.1833122062116 ; 5547.323140262886
{45,60,45,30,25} ; 501.2333827475695 ; 4998.1297438848205
{45,60,45,30,30} ; 501.2333827475695 ; 4998.1297438848205
{45,60,45,35,20} ; 872.2840029272363 ; 4563.149028594065
{45,60,45,35,25} ; 498.3916290981102 ; 3219.683430546479
{45,60,45,35,30} ; 498.3916290981102 ; 3219.683430546479
{45,60,45,40,20} ; 638.5025867108754 ; 4013.9839559992843
{45,60,45,40,25} ; 814.3120519035144 ; 4279.832482771332
{45,60,45,40,30} ; 814.3120519035144 ; 4279.832482771332
{45,60,45,45,20} ; 699.1637080089095 ; 3534.3602031071596
{45,60,45,45,25} ; 660.5931043426515 ; 4189.6189134938995
{45,60,45,45,30} ; 660.5931043426515 ; 4189.6189134938995
{45,60,45,50,20} ; 699.1637080089095 ; 3534.3602031071596
{45,60,45,50,25} ; 660.5931043426515 ; 4189.6189134938995
{45,60,45,50,30} ; 660.5931043426515 ; 4189.6189134938995
{45,60,50,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,60,50,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,60,50,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,60,50,35,20} ; 681.915358229332 ; 4058.39122217458
{45,60,50,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,60,50,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,60,50,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,60,50,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,45,45,30,20} ; 1018.3718665808694 ; 5301.288426787624
{45,45,45,30,25} ; 403.17055516939547 ; 4852.322291845634
{45,45,45,30,30} ; 396.60209753275655 ; 4643.348490871602
{45,45,45,35,20} ; 520.5464128555856 ; 4797.693368529032
{45,45,45,35,25} ; 455.86541565238133 ; 3829.358433017773
{45,45,45,35,30} ; 455.86541565238133 ; 3829.358433017773
{45,45,45,40,20} ; 860.2284567764139 ; 4398.495517870469
{45,45,45,40,25} ; 1122.7502175030718 ; 4529.131978490546
{45,45,45,40,30} ; 1122.7502175030718 ; 4529.131978490546
{45,45,45,45,20} ; 780.8785762082488 ; 4514.087496896305
{45,45,45,45,25} ; 1208.4559980878073 ; 4079.697232324761
{45,45,45,45,30} ; 1209.9109822466337 ; 3749.9775881524783
{45,45,45,50,20} ; 780.8785762082488 ; 4514.087496896305
{45,45,45,50,25} ; 1208.4559980878073 ; 4079.697232324761
{45,45,45,50,30} ; 1209.9109822466337 ; 3749.9775881524783
{45,45,50,30,20} ; 997.9825007274526 ; 6171.630018765806
{45,45,50,30,25} ; 477.6757410148973 ; 5268.665503964623
{45,45,50,30,30} ; 477.6757410148973 ; 5268.665503964623
{45,45,50,35,20} ; 948.6194887442599 ; 5522.300176740009
{45,45,50,35,25} ; 1097.728985717258 ; 4520.186058443653
{45,45,50,35,30} ; 1097.728985717258 ; 4520.186058443653
{45,45,50,40,20} ; 1059.2615945753116 ; 4578.974227105646
{45,45,50,40,25} ; 502.0290978380714 ; 3975.5844546520966
{45,45,50,40,30} ; 646.9653949829947 ; 4520.165241234692
{45,45,50,45,20} ; 830.3153108878203 ; 4784.535105138464
{45,45,50,45,25} ; 508.89375627960214 ; 3705.859095746755
{45,45,50,45,30} ; 577.9012154577694 ; 3961.2268754851198
{45,45,50,50,20} ; 830.3153108878203 ; 4784.535105138464
{45,45,50,50,25} ; 508.89375627960214 ; 3705.859095746755
{45,45,50,50,30} ; 577.9012154577694 ; 3961.2268754851198
{45,45,55,30,20} ; 997.9825007274526 ; 6171.630018765806
{45,45,55,30,25} ; 477.6757410148973 ; 5268.665503964623
{45,45,55,30,30} ; 477.6757410148973 ; 5268.665503964623
{45,45,55,35,20} ; 948.6194887442599 ; 5522.300176740009
{45,45,55,35,25} ; 1097.728985717258 ; 4520.186058443653
{45,45,55,35,30} ; 1097.728985717258 ; 4520.186058443653
{45,45,55,40,20} ; 1059.2615945753116 ; 4578.974227105646
{45,45,55,40,25} ; 502.0290978380714 ; 3975.5844546520966
{45,45,55,40,30} ; 646.9653949829947 ; 4520.165241234692
{45,45,55,45,20} ; 830.3153108878203 ; 4784.535105138464
{45,45,55,45,25} ; 508.89375627960214 ; 3705.859095746755
{45,45,55,45,30} ; 577.9012154577694 ; 3961.2268754851198
{45,45,55,50,20} ; 830.3153108878203 ; 4784.535105138464
{45,45,55,50,25} ; 508.89375627960214 ; 3705.859095746755
{45,45,55,50,30} ; 577.9012154577694 ; 3961.2268754851198
{45,50,45,30,20} ; 609.1833122062116 ; 5547.323140262886
{45,50,45,30,25} ; 501.2333827475695 ; 4998.1297438848205
{45,50,45,30,30} ; 501.2333827475695 ; 4998.1297438848205
{45,50,45,35,20} ; 872.2840029272363 ; 4563.149028594065
{45,50,45,35,25} ; 498.3916290981102 ; 3219.683430546479
{45,50,45,35,30} ; 498.3916290981102 ; 3219.683430546479
{45,50,45,40,20} ; 638.5025867108754 ; 4013.9839559992843
{45,50,45,40,25} ; 814.3120519035144 ; 4279.832482771332
{45,50,45,40,30} ; 814.3120519035144 ; 4279.832482771332
{45,50,45,45,20} ; 699.1637080089095 ; 3534.3602031071596
{45,50,45,45,25} ; 660.5931043426515 ; 4189.6189134938995
{45,50,45,45,30} ; 660.5931043426515 ; 4189.6189134938995
{45,50,45,50,20} ; 699.1637080089095 ; 3534.3602031071596
{45,50,45,50,25} ; 660.5931043426515 ; 4189.6189134938995
{45,50,45,50,30} ; 660.5931043426515 ; 4189.6189134938995
{45,50,50,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,50,50,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,50,50,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,50,50,35,20} ; 681.915358229332 ; 4058.39122217458
{45,50,50,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,50,50,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,50,50,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,50,50,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,50,50,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,50,50,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,50,50,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,50,50,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,50,50,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,50,50,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,50,50,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,50,55,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,50,55,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,50,55,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,50,55,35,20} ; 681.915358229332 ; 4058.39122217458
{45,50,55,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,50,55,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,50,55,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,50,55,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,50,55,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,50,55,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,50,55,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,50,55,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,50,55,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,50,55,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,50,55,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,55,45,30,20} ; 609.1833122062116 ; 5547.323140262886
{45,55,45,30,25} ; 501.2333827475695 ; 4998.1297438848205
{45,55,45,30,30} ; 501.2333827475695 ; 4998.1297438848205
{45,55,45,35,20} ; 872.2840029272363 ; 4563.149028594065
{45,55,45,35,25} ; 498.3916290981102 ; 3219.683430546479
{45,55,45,35,30} ; 498.3916290981102 ; 3219.683430546479
{45,55,45,40,20} ; 638.5025867108754 ; 4013.9839559992843
{45,55,45,40,25} ; 814.3120519035144 ; 4279.832482771332
{45,55,45,40,30} ; 814.3120519035144 ; 4279.832482771332
{45,55,45,45,20} ; 699.1637080089095 ; 3534.3602031071596
{45,55,45,45,25} ; 660.5931043426515 ; 4189.6189134938995
{45,55,45,45,30} ; 660.5931043426515 ; 4189.6189134938995
{45,55,45,50,20} ; 699.1637080089095 ; 3534.3602031071596
{45,55,45,50,25} ; 660.5931043426515 ; 4189.6189134938995
{45,55,45,50,30} ; 660.5931043426515 ; 4189.6189134938995
{45,55,50,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,55,50,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,55,50,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,55,50,35,20} ; 681.915358229332 ; 4058.39122217458
{45,55,50,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,50,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,50,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,55,50,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,55,50,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,55,50,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,50,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,50,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,55,50,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,50,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,50,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,55,55,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,55,55,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,55,55,35,20} ; 681.915358229332 ; 4058.39122217458
{45,55,55,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,55,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,55,55,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,55,55,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,55,55,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,55,55,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,55,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,55,55,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,55,55,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,60,45,30,20} ; 609.1833122062116 ; 5547.323140262886
{45,60,45,30,25} ; 501.2333827475695 ; 4998.1297438848205
{45,60,45,30,30} ; 501.2333827475695 ; 4998.1297438848205
{45,60,45,35,20} ; 872.2840029272363 ; 4563.149028594065
{45,60,45,35,25} ; 498.3916290981102 ; 3219.683430546479
{45,60,45,35,30} ; 498.3916290981102 ; 3219.683430546479
{45,60,45,40,20} ; 638.5025867108754 ; 4013.9839559992843
{45,60,45,40,25} ; 814.3120519035144 ; 4279.832482771332
{45,60,45,40,30} ; 814.3120519035144 ; 4279.832482771332
{45,60,45,45,20} ; 699.1637080089095 ; 3534.3602031071596
{45,60,45,45,25} ; 660.5931043426515 ; 4189.6189134938995
{45,60,45,45,30} ; 660.5931043426515 ; 4189.6189134938995
{45,60,45,50,20} ; 699.1637080089095 ; 3534.3602031071596
{45,60,45,50,25} ; 660.5931043426515 ; 4189.6189134938995
{45,60,45,50,30} ; 660.5931043426515 ; 4189.6189134938995
{45,60,50,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,60,50,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,60,50,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,60,50,35,20} ; 681.915358229332 ; 4058.39122217458
{45,60,50,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,60,50,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,60,50,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,60,50,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,60,50,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,60,50,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,60,50,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,60,50,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,60,50,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,60,50,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,60,50,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,60,55,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,60,55,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,60,55,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,60,55,35,20} ; 681.915358229332 ; 4058.39122217458
{45,60,55,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,60,55,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,60,55,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,60,55,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,60,55,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,60,55,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,60,55,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,60,55,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,60,55,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,60,55,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,60,55,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,65,45,30,20} ; 609.1833122062116 ; 5547.323140262886
{45,65,45,30,25} ; 501.2333827475695 ; 4998.1297438848205
{45,65,45,30,30} ; 501.2333827475695 ; 4998.1297438848205
{45,65,45,35,20} ; 872.2840029272363 ; 4563.149028594065
{45,65,45,35,25} ; 498.3916290981102 ; 3219.683430546479
{45,65,45,35,30} ; 498.3916290981102 ; 3219.683430546479
{45,65,45,40,20} ; 638.5025867108754 ; 4013.9839559992843
{45,65,45,40,25} ; 814.3120519035144 ; 4279.832482771332
{45,65,45,40,30} ; 814.3120519035144 ; 4279.832482771332
{45,65,45,45,20} ; 699.1637080089095 ; 3534.3602031071596
{45,65,45,45,25} ; 660.5931043426515 ; 4189.6189134938995
{45,65,45,45,30} ; 660.5931043426515 ; 4189.6189134938995
{45,65,45,50,20} ; 699.1637080089095 ; 3534.3602031071596
{45,65,45,50,25} ; 660.5931043426515 ; 4189.6189134938995
{45,65,45,50,30} ; 660.5931043426515 ; 4189.6189134938995
{45,65,50,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,65,50,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,65,50,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,65,50,35,20} ; 681.915358229332 ; 4058.39122217458
{45,65,50,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,65,50,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,65,50,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,65,50,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,65,50,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,65,50,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,65,50,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,65,50,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,65,50,50,20} ; 709.6303126908476 ; 3719.4883393779373
{45,65,50,50,25} ; 509.31459742477386 ; 3650.5416592661313
{45,65,50,50,30} ; 509.31459742477386 ; 3650.5416592661313
{45,65,55,30,20} ; 804.1954358641832 ; 5112.752906467178
{45,65,55,30,25} ; 595.266738478888 ; 4528.9625151966375
{45,65,55,30,30} ; 576.2068779248158 ; 4289.339936683876
{45,65,55,35,20} ; 681.915358229332 ; 4058.39122217458
{45,65,55,35,25} ; 1036.3540964120184 ; 3585.2321260175877
{45,65,55,35,30} ; 1036.3540964120184 ; 3585.2321260175877
{45,65,55,40,20} ; 919.9915227540724 ; 4034.133844674623
{45,65,55,40,25} ; 624.2757010272711 ; 4160.180432059864
{45,65,55,40,30} ; 624.2757010272711 ; 4160.180432059864
{45,65,55,45,20} ; 709.6303126908476 ; 3719.4883393779373
{45,65,55,45,25} ; 509.31459742477386 ; 3650.5416592661313
{45,65,55,45,30} ; 509.31459742477386 ; 3650.5416592661313
{45,65,55,50,20} ; 709.6303126908476 ; 3719.4883393779373
